"","LME_NAME","colony","n","total","percentage"
"1","Barents Sea","Alkefjellet",26745,105938,"25.25"
"2","Barents Sea","Bjørnøya",43981,105938,"41.52"
"3","Barents Sea","Eynhallow",11742,105938,"11.08"
"4","Barents Sea","Faroe Islands",1081,105938,"1.02"
"5","Barents Sea","Isle of Canna",249,105938,"0.24"
"6","Barents Sea","Jan Mayen",12969,105938,"12.24"
"7","Barents Sea","Jarsteinen",1855,105938,"1.75"
"8","Barents Sea","Langanes",334,105938,"0.32"
"9","Barents Sea","Little Saltee",44,105938,"0.04"
"10","Barents Sea","Skjalfandi",6938,105938,"6.55"
"11","Canadian Eastern Arctic - West Greenland","Eynhallow",266,3721,"7.15"
"12","Canadian Eastern Arctic - West Greenland","Faroe Islands",97,3721,"2.61"
"13","Canadian Eastern Arctic - West Greenland","Isle of Canna",40,3721,"1.07"
"14","Canadian Eastern Arctic - West Greenland","Jan Mayen",521,3721,"14.00"
"15","Canadian Eastern Arctic - West Greenland","Jarsteinen",74,3721,"1.99"
"16","Canadian Eastern Arctic - West Greenland","Langanes",1,3721,"0.03"
"17","Canadian Eastern Arctic - West Greenland","Little Saltee",53,3721,"1.42"
"18","Canadian Eastern Arctic - West Greenland","Skjalfandi",2669,3721,"71.73"
"19","Celtic-Biscay Shelf","Eynhallow",13198,41518,"31.79"
"20","Celtic-Biscay Shelf","Faroe Islands",306,41518,"0.74"
"21","Celtic-Biscay Shelf","Inishkea",2655,41518,"6.39"
"22","Celtic-Biscay Shelf","Isle of Canna",2679,41518,"6.45"
"23","Celtic-Biscay Shelf","Jan Mayen",11,41518,"0.03"
"24","Celtic-Biscay Shelf","Jarsteinen",44,41518,"0.11"
"25","Celtic-Biscay Shelf","Langanes",2,41518,"0.00"
"26","Celtic-Biscay Shelf","Little Saltee",22465,41518,"54.11"
"27","Celtic-Biscay Shelf","Skjalfandi",158,41518,"0.38"
"28","Faroe Plateau","Eynhallow",5212,8890,"58.63"
"29","Faroe Plateau","Faroe Islands",2768,8890,"31.14"
"30","Faroe Plateau","Inishkea",41,8890,"0.46"
"31","Faroe Plateau","Isle of Canna",162,8890,"1.82"
"32","Faroe Plateau","Jan Mayen",260,8890,"2.92"
"33","Faroe Plateau","Jarsteinen",49,8890,"0.55"
"34","Faroe Plateau","Langanes",57,8890,"0.64"
"35","Faroe Plateau","Little Saltee",87,8890,"0.98"
"36","Faroe Plateau","Skjalfandi",254,8890,"2.86"
"37","Greenland Sea","Alkefjellet",693,37706,"1.84"
"38","Greenland Sea","Bjørnøya",1296,37706,"3.44"
"39","Greenland Sea","Eynhallow",1690,37706,"4.48"
"40","Greenland Sea","Faroe Islands",290,37706,"0.77"
"41","Greenland Sea","Inishkea",10,37706,"0.03"
"42","Greenland Sea","Isle of Canna",44,37706,"0.12"
"43","Greenland Sea","Jan Mayen",23011,37706,"61.03"
"44","Greenland Sea","Jarsteinen",307,37706,"0.81"
"45","Greenland Sea","Langanes",426,37706,"1.13"
"46","Greenland Sea","Little Saltee",42,37706,"0.11"
"47","Greenland Sea","Skjalfandi",9897,37706,"26.25"
"48","Hudson Bay Complex","Eynhallow",3,415,"0.72"
"49","Hudson Bay Complex","Jan Mayen",48,415,"11.57"
"50","Hudson Bay Complex","Jarsteinen",1,415,"0.24"
"51","Hudson Bay Complex","Skjalfandi",363,415,"87.47"
"52","Iberian Coastal","Eynhallow",40,224,"17.86"
"53","Iberian Coastal","Inishkea",4,224,"1.79"
"54","Iberian Coastal","Isle of Canna",3,224,"1.34"
"55","Iberian Coastal","Little Saltee",177,224,"79.02"
"56","Iceland Shelf and Sea","Alkefjellet",15,65701,"0.02"
"57","Iceland Shelf and Sea","Bjørnøya",9,65701,"0.01"
"58","Iceland Shelf and Sea","Eynhallow",1694,65701,"2.58"
"59","Iceland Shelf and Sea","Faroe Islands",1948,65701,"2.96"
"60","Iceland Shelf and Sea","Inishkea",34,65701,"0.05"
"61","Iceland Shelf and Sea","Isle of Canna",64,65701,"0.10"
"62","Iceland Shelf and Sea","Jan Mayen",11989,65701,"18.25"
"63","Iceland Shelf and Sea","Jarsteinen",140,65701,"0.21"
"64","Iceland Shelf and Sea","Langanes",2120,65701,"3.23"
"65","Iceland Shelf and Sea","Little Saltee",51,65701,"0.08"
"66","Iceland Shelf and Sea","Skjalfandi",47637,65701,"72.51"
"67","Kara Sea","Alkefjellet",926,3050,"30.36"
"68","Kara Sea","Bjørnøya",421,3050,"13.80"
"69","Kara Sea","Eynhallow",346,3050,"11.34"
"70","Kara Sea","Jan Mayen",553,3050,"18.13"
"71","Kara Sea","Jarsteinen",265,3050,"8.69"
"72","Kara Sea","Langanes",76,3050,"2.49"
"73","Kara Sea","Skjalfandi",463,3050,"15.18"
"74","Labrador - Newfoundland","Eynhallow",631,3590,"17.58"
"75","Labrador - Newfoundland","Faroe Islands",162,3590,"4.51"
"76","Labrador - Newfoundland","Inishkea",7,3590,"0.19"
"77","Labrador - Newfoundland","Jan Mayen",650,3590,"18.11"
"78","Labrador - Newfoundland","Jarsteinen",124,3590,"3.45"
"79","Labrador - Newfoundland","Langanes",2,3590,"0.06"
"80","Labrador - Newfoundland","Little Saltee",6,3590,"0.17"
"81","Labrador - Newfoundland","Skjalfandi",2008,3590,"55.93"
"82","North Sea","Eynhallow",127544,144497,"88.27"
"83","North Sea","Faroe Islands",1591,144497,"1.10"
"84","North Sea","Inishkea",6,144497,"0.00"
"85","North Sea","Isle of Canna",1052,144497,"0.73"
"86","North Sea","Jan Mayen",152,144497,"0.11"
"87","North Sea","Jarsteinen",13181,144497,"9.12"
"88","North Sea","Langanes",29,144497,"0.02"
"89","North Sea","Little Saltee",599,144497,"0.41"
"90","North Sea","Skjalfandi",343,144497,"0.24"
"91","Northeast U.S. Continental Shelf","Skjalfandi",392,392,"100.00"
"92","Norwegian Sea","Alkefjellet",1396,95515,"1.46"
"93","Norwegian Sea","Bjørnøya",9593,95515,"10.04"
"94","Norwegian Sea","Eynhallow",40491,95515,"42.39"
"95","Norwegian Sea","Faroe Islands",5319,95515,"5.57"
"96","Norwegian Sea","Inishkea",41,95515,"0.04"
"97","Norwegian Sea","Isle of Canna",436,95515,"0.46"
"98","Norwegian Sea","Jan Mayen",28306,95515,"29.64"
"99","Norwegian Sea","Jarsteinen",3106,95515,"3.25"
"100","Norwegian Sea","Langanes",860,95515,"0.90"
"101","Norwegian Sea","Little Saltee",104,95515,"0.11"
"102","Norwegian Sea","Skjalfandi",5863,95515,"6.14"
"103","Scotian Shelf","Skjalfandi",640,640,"100.00"
"104",NA,"Alkefjellet",274,110504,"0.25"
"105",NA,"Bjørnøya",129,110504,"0.12"
"106",NA,"Eynhallow",38917,110504,"35.22"
"107",NA,"Faroe Islands",6551,110504,"5.93"
"108",NA,"Inishkea",2992,110504,"2.71"
"109",NA,"Isle of Canna",1540,110504,"1.39"
"110",NA,"Jan Mayen",12372,110504,"11.20"
"111",NA,"Jarsteinen",2670,110504,"2.42"
"112",NA,"Langanes",1398,110504,"1.27"
"113",NA,"Little Saltee",3565,110504,"3.23"
"114",NA,"Skjalfandi",40096,110504,"36.28"
