"","Colony","udoi_Overlap_score","ba_Overlap_score","harmonic_mean","Tracking_year","CI_lower","CI_upper"
"1","Faroe Islands",0.436584920659239,0.777535385873812,0.559187129850098,"2015",0.535439117709516,0.712856387168689
"2","Faroe Islands",0.415427255199348,0.761953544402724,0.537695654027347,"2016",0.535439117709516,0.712856387168689
"3","Faroe Islands",0.642225253403171,0.833102464344544,0.725316056681007,"2020",0.535439117709516,0.712856387168689
"4","Faroe Islands",0.419773919864991,0.738392095299149,0.535256155305368,"2017",0.535439117709516,0.712856387168689
"5","Eynhallow",0.300909537814131,0.686356537814746,0.418390206384807,"2008",0.420874229413306,0.742337618353356
"6","Eynhallow",0.51921556170116,0.806594260272531,0.631759223640213,"2009",0.420874229413306,0.742337618353356
"7","Eynhallow",0.415005908182966,0.759231223100251,0.536664077245208,"2010",0.420874229413306,0.742337618353356
"8","Eynhallow",0.442291910533168,0.777338347736398,0.563794577282516,"2014",0.420874229413306,0.742337618353356
"9","Eynhallow",0.450847405139503,0.7849169278001,0.57272693622246,"2015",0.420874229413306,0.742337618353356
"10","Eynhallow",0.463632666231477,0.792121637264132,0.584912933433075,"2016",0.420874229413306,0.742337618353356
"11","Eynhallow",0.414542383894302,0.75969046980361,0.536390882579052,"2017",0.420874229413306,0.742337618353356
"12","Eynhallow",0.463096666077349,0.798002902833232,0.586079787722645,"2018",0.420874229413306,0.742337618353356
"13","Eynhallow",0.701140600110308,0.91941787410495,0.795579067659685,"2006",0.420874229413306,0.742337618353356
"14","Eynhallow",0.313649859141718,0.663922668393317,0.426033354164803,"2007",0.420874229413306,0.742337618353356
"15","Eynhallow",0.384184031190037,0.709638494955136,0.49849362426334,"2011",0.420874229413306,0.742337618353356
"16","Eynhallow",0.439307559119568,0.787700922564988,0.564043321254268,"2019",0.420874229413306,0.742337618353356
"17","Eynhallow",0.453093647953894,0.766175696191604,0.569438316198069,"2020",0.420874229413306,0.742337618353356
"18","Eynhallow",0.495043902032837,0.846324679053653,0.624687170122996,"2012",0.420874229413306,0.742337618353356
"19","Little Saltee",0.715407005614486,0.937927838509713,0.8116929838083,"2010",0.707231458558012,0.957295741757845
"20","Little Saltee",0.944984485663738,0.994481464957202,0.969101370780782,"2011",0.707231458558012,0.957295741757845
"21","Little Saltee",0.59817673198751,0.862488552756345,0.706418628898818,"2020",0.707231458558012,0.957295741757845
"22","Little Saltee",0.607233232766852,0.87597152577744,0.717256357688071,"2019",0.707231458558012,0.957295741757845
"23","Inishkea",0.640277465264337,0.935553942498613,0.760251514178702,"2019",0.742255551736067,0.759790079244276
"24","Inishkea",0.641275219772685,0.879683075852807,0.741794116801641,"2020",0.742255551736067,0.759790079244276
"25","Isle of Canna",0.369443160487986,0.703241774796946,0.4844066609347,"2014",0.493942749106146,0.856314099621122
"26","Isle of Canna",0.811472606322049,0.928038998420651,0.865850187792569,"2015",0.493942749106146,0.856314099621122
"27","Combined",0.487718536726277,0.793064451952469,0.603993396937446,"2014",0.483743686428268,0.594659436261734
"28","Combined",0.383201750409064,0.756734290187719,0.508768727836138,"2015",0.483743686428268,0.594659436261734
"29","Combined",0.403087017207185,0.747076236236632,0.523641719189569,"2016",0.483743686428268,0.594659436261734
"30","Combined",0.360678637166891,0.72024367097077,0.480657127192405,"2017",0.483743686428268,0.594659436261734
"31","Combined",0.403037159421785,0.741413016171321,0.522201843939893,"2018",0.483743686428268,0.594659436261734
"32","Combined",0.416151648342715,0.776003630590765,0.541766992432699,"2019",0.483743686428268,0.594659436261734
"33","Combined",0.378139396048652,0.743149986088442,0.501234188764822,"2020",0.483743686428268,0.594659436261734
"34","Jarsteinen",0.527125654012768,0.799447529624074,0.63533517351327,"2017",0.509839975343357,0.827165756010871
"35","Jarsteinen",0.636988513994474,0.812862355063604,0.714258265707564,"2019",0.509839975343357,0.827165756010871
"36","Jarsteinen",0.384377101405953,0.743170124455777,0.506688450360026,"2011",0.509839975343357,0.827165756010871
"37","Jarsteinen",0.545174689480019,0.851808382937366,0.664838937326234,"2012",0.509839975343357,0.827165756010871
"38","Jarsteinen",0.78309742857952,0.922473308118635,0.847090607240867,"2015",0.509839975343357,0.827165756010871
"39","Jarsteinen",0.493659700426216,0.837894425109302,0.621281107475674,"2016",0.509839975343357,0.827165756010871
"40","Jarsteinen",0.400627828162754,0.772821460838235,0.527698616915567,"2018",0.509839975343357,0.827165756010871
"41","Bjørnøya",0.743775545932815,0.948135117967022,0.833613417103853,"2014",0.757029979786674,0.83574163337321
"42","Bjørnøya",0.703489603707902,0.925376396620909,0.799320109091941,"2015",0.757029979786674,0.83574163337321
"43","Bjørnøya",0.648875799876538,0.907101549731657,0.756561454830417,"2016",0.757029979786674,0.83574163337321
"44","Bjørnøya",0.66216884153974,0.895190772812035,0.761246704392985,"2017",0.757029979786674,0.83574163337321
"45","Bjørnøya",0.748614646021218,0.946426199417054,0.835978101847583,"2018",0.757029979786674,0.83574163337321
"46","Jan Mayen",0.427613928892225,0.770507806960578,0.549993979271274,"2017",0.50124552221199,0.597295034876383
"47","Jan Mayen",0.382482611094514,0.725110621249515,0.500801549971433,"2018",0.50124552221199,0.597295034876383
"48","Jan Mayen",0.484843256943394,0.802736650102598,0.604547259201166,"2016",0.50124552221199,0.597295034876383
"49","Jan Mayen",0.415440007046776,0.769266856159374,0.539516125159969,"2014",0.50124552221199,0.597295034876383
"50","Jan Mayen",0.433080558092781,0.777124294182511,0.556199097035948,"2015",0.50124552221199,0.597295034876383
"51","Jan Mayen",0.383089992331121,0.735412516080581,0.503761364908482,"2019",0.50124552221199,0.597295034876383
"52","Jan Mayen",0.405003273993728,0.791751064316381,0.535885708488757,"2020",0.50124552221199,0.597295034876383
"53","Alkefjellet",0.520365015382942,0.854636128180541,0.646868904901318,"2015",0.634480898233915,0.755566665413305
"54","Alkefjellet",0.535628720603619,0.85219107708479,0.657805886742696,"2016",0.634480898233915,0.755566665413305
"55","Alkefjellet",0.620891708261446,0.86999884159444,0.724634101403709,"2017",0.634480898233915,0.755566665413305
"56","Alkefjellet",0.636279296681995,0.886609176956912,0.740869831653487,"2018",0.634480898233915,0.755566665413305
"57","Alkefjellet",0.64854047122137,0.910945096847155,0.757666213093279,"2019",0.634480898233915,0.755566665413305
"58","Alkefjellet",0.511467458810996,0.829296509188617,0.632711182995714,"2020",0.634480898233915,0.755566665413305
